name,album,artist,release_date,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Shot in the Dark,The Ultimate Sin,Ozzy Osbourne,1986-02-22,60,31dqpLUModJWNbxrXu6TWd,0.581,0.791,6,-7.262,1,0.0324,0.00835,6.02e-05,0.142,0.619,123.887,256293,3
Rock And Roll All Nite,Dressed To Kill (Remastered Version),KISS,1975-03-19,48,0fCWbJq1hagsRgShtn6gIU,0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,168840,4
Living After Midnight,British Steel,Judas Priest,1980,61,0IXpUl1fn2QZcBavfuq0H4,0.61,0.824,4,-6.046,1,0.0534,0.0136,1.75e-06,0.0606,0.819,134.992,210133,4
No One Like You - 2015 Remaster,Blackout,Scorpions,1982-03-29,55,0hLQWHwB6GZlkASpS7DkdW,0.441,0.796,9,-2.851,0,0.0431,0.0167,2.52e-06,0.166,0.696,118.146,238867,4
Phantom of the Opera - 2015 Remaster,Iron Maiden (2015 Remaster),Iron Maiden,1980,55,14H2fE4WEdkEem0kjVeODT,0.319,0.952,4,-5.315,0,0.0723,6.28e-05,0.154,0.918,0.228,109.275,441467,4
Stargazer,Rising,Rainbow,1976-01-01,58,1aDNYyeU62BuQsBAY18i48,0.166,0.948,11,-8.503,0,0.0631,0.00374,0.0131,0.769,0.476,177.495,506160,4
We're Not Gonna Take It,Stay Hungry,Twisted Sister,1984-05-10,72,1hlveB9M6ijHZRbzZ2teyh,0.502,0.924,4,-6.299,1,0.0503,0.0127,0.0,0.162,0.922,149.186,219667,4
I Love It Loud,Creatures Of The Night,KISS,1982-10-13,60,7yDrKl1J4VWNbR4aLU3qJ7,0.414,0.897,5,-6.406,0,0.0538,0.000402,1.85e-06,0.0809,0.263,170.916,255427,4
Heavy Metal,Standing Hampton,Sammy Hagar,1981-01-01,62,1XxUDJp9zsjd6tBSvE3la4,0.276,0.639,2,-11.674,1,0.0471,0.0178,0.0,0.292,0.643,186.502,230507,4
Eruption - 2015 Remaster,Van Halen (Remastered),Van Halen,1978-02-10,61,2tAeN2TKlQLOoSPXtARzBV,0.225,0.689,8,-9.12,1,0.0555,0.469,0.813,0.337,0.5,93.798,102080,4
Mr. Crowley,Blizzard of Ozz (Expanded Edition),Ozzy Osbourne,1980-09-20,0,5XfWzGa5zuz88IOYbWNTMa,0.287,0.757,2,-6.482,0,0.0591,0.204,0.000294,0.359,0.357,108.554,302640,4
Shout At The Devil,Shout At The Devil,Mötley Crüe,1983,37,1hqrYSqvNc9x3BETX1cZhk,0.489,0.953,0,-4.615,1,0.0858,0.02,0.00021,0.113,0.447,94.443,195853,4
Raining Blood,Reign In Blood (Expanded),Slayer,1986-01-01,0,4Yx9Tw9dTgQ8eGCq3PRDyn,0.301,0.995,1,-4.394,0,0.159,0.000417,0.295,0.125,0.0374,88.15,255187,4
War Pigs,Paranoid (Remastered),Black Sabbath,1970-09-18,0,4eZDMbQm12jmaTFT6fOBwo,0.445,0.612,9,-12.025,1,0.0589,0.118,0.00661,0.175,0.497,91.732,474400,4
Big City Nights - 2015 - Remaster,Love At First Sting,Scorpions,1984,0,0VLxw3HiC9deFFOMHutCUK,0.499,0.936,9,-3.031,0,0.069,0.000636,0.0025,0.0658,0.662,137.627,249147,4
The Kids Are Back,You Can't Stop Rock 'N' Roll,Twisted Sister,1983-06-15,56,7xzmJPFQAn0O1ZYYtbGRlz,0.557,0.843,0,-4.338,1,0.131,0.00366,1.83e-06,0.218,0.547,138.339,198800,4
Runnin' with the Devil - 2015 Remaster,Van Halen (Remastered),Van Halen,1978-02-10,67,3KhF2YiNpJvGpfiCW45R6D,0.472,0.9,8,-6.406,0,0.0582,0.148,0.000297,0.34,0.42,95.826,214960,4
Thunderstruck,The Razors Edge,AC/DC,1990-09-24,81,57bgtoPSgt236HzfBOd8kj,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,4
